unique_words,avg_sentence,num_of_words,grade
274,77,662,4
336,130,780,4
367,108,848,3
276,142,705,3
214,99,645,3
321,57,695,4
405,47,821,4
139,75,291,3
362,83,734,5
294,78,536,4
251,114,439,3
401,122,817,5
265,222,815,3
241,92,560,3
402,86,764,5
83,65,131,2
349,97,712,4
266,84,528,4
324,62,736,3
174,48,280,3
312,109,630,4
390,110,849,4
234,79,478,4
329,115,844,4
206,79,356,4
292,85,688,3
298,71,615,4
331,100,829,3
136,84,226,3
325,183,738,4
244,94,727,3
315,67,849,4
376,61,734,5
379,78,835,3
402,71,848,4
226,109,455,4
352,76,846,4
151,177,304,3
405,89,847,4
414,77,832,5
326,53,652,4
400,82,844,5
442,53,832,4
221,71,442,5
205,64,360,3
198,93,545,3
230,50,477,4
204,79,550,4
161,120,319,3
291,102,655,4
266,64,486,4
304,105,603,4
301,93,650,4
354,77,751,4
304,66,579,4
245,78,622,4
270,81,491,4
183,67,367,4
286,89,568,4
181,74,325,4
162,47,285,3
381,70,792,5
292,98,637,4
261,78,607,3
428,57,847,4
146,88,234,3
277,49,564,4
288,133,831,3
233,106,406,4
176,110,424,4
364,101,844,4
281,85,579,4
216,65,466,4
283,63,588,4
365,69,837,4
396,61,848,4
241,96,460,4
411,55,835,3
243,121,752,3
147,62,259,3
350,176,850,3
151,84,333,3
459,71,833,5
357,80,742,5
418,98,772,5
276,63,543,4
197,77,513,4
366,42,658,6
323,59,607,5
126,89,250,3
357,71,582,5
262,78,620,3
122,138,295,3
294,87,779,4
320,68,641,4
307,91,638,4
236,82,519,4
137,68,280,3
88,258,175,3
185,70,317,4
332,91,658,4
420,105,849,5
397,88,828,4
278,77,559,4
221,74,538,3
349,87,847,3
335,136,848,4
134,79,239,3
209,71,451,4
297,76,526,4
256,99,521,3
226,76,380,4
279,81,579,4
359,70,847,4
266,101,504,4
263,77,513,4
369,67,757,4
246,70,516,4
310,73,828,4
370,65,765,4
333,55,772,4
185,79,290,3
48,66,65,2
319,65,610,4
242,235,506,3
287,107,712,4
289,81,613,4
308,154,681,4
349,135,630,4
320,101,795,3
356,69,765,4
231,73,476,4
306,95,682,4
177,110,340,3
211,118,491,3
362,83,705,3
281,87,531,4
277,128,517,4
223,70,413,4
341,84,736,3
251,78,524,4
116,47,185,3
129,51,245,4
431,88,851,5
337,71,758,4
283,109,612,5
350,63,704,4
309,100,677,4
249,102,654,4
339,80,807,3
193,69,407,5
320,70,741,4
196,64,388,4
326,91,848,4
188,83,363,3
257,68,465,4
252,120,528,3
335,84,702,4
446,70,849,4
351,121,800,4
260,57,490,4
153,101,388,3
132,55,235,3
234,147,546,3
421,110,847,5
179,88,285,4
235,114,585,2
157,96,234,3
192,93,426,4
382,75,731,4
355,132,844,4
193,65,347,4
127,83,201,3
394,83,849,4
386,63,821,4
330,95,620,4
224,140,496,3
328,97,706,4
292,89,642,4
304,60,720,3
165,88,340,3
226,103,441,4
275,57,499,4
379,46,849,4
326,48,718,3
159,1056,492,4
375,65,717,4
408,87,769,4
335,57,846,4
285,85,737,4
279,73,540,4
138,44,266,2
355,123,847,4
211,69,444,4
415,100,813,4
278,76,511,4
367,75,787,4
398,130,848,4
330,99,690,4
366,88,846,4
105,109,176,3
272,128,697,4
208,567,479,3
306,79,768,4
346,92,679,5
189,58,329,3
289,100,574,4
407,92,836,5
271,94,557,4
391,61,842,4
349,69,802,4
238,163,502,4
202,106,308,4
202,93,457,3
285,123,590,4
272,135,724,4
172,71,417,4
268,95,579,4
403,82,837,4
321,79,614,4
394,98,840,4
325,83,560,5
122,59,179,4
318,77,597,4
316,95,651,4
161,93,274,3
324,73,848,4
240,66,489,4
301,95,603,3
179,136,303,3
239,64,420,3
350,103,745,4
290,108,728,4
296,94,650,4
353,112,821,4
277,86,658,4
244,105,550,3
109,122,229,2
179,66,337,4
300,88,638,4
206,96,373,3
86,57,137,2
87,77,128,3
309,105,598,5
325,69,766,4
245,81,497,3
105,66,244,4
294,92,674,3
282,93,621,4
356,75,786,4
135,116,234,4
248,76,494,4
306,128,838,4
444,93,828,4
262,124,673,3
186,270,487,4
288,77,575,5
318,91,603,4
522,85,845,5
236,193,488,4
265,197,658,4
378,97,843,4
378,126,814,4
311,80,720,4
213,60,384,4
298,102,826,4
390,71,823,6
333,166,846,4
266,102,566,3
341,111,816,4
165,97,349,4
379,111,685,5
428,54,844,4
411,52,848,4
334,126,640,4
448,58,850,4
187,66,404,3
274,71,567,4
319,130,772,4
303,87,581,5
406,82,845,5
276,87,543,4
329,122,844,4
380,68,694,4
325,92,848,4
336,169,688,4
386,121,834,5
375,67,688,5
304,110,552,4
344,82,720,4
258,78,590,4
162,93,345,3
183,80,304,3
352,83,839,4
313,152,606,5
322,73,650,4
197,103,345,3
207,105,448,4
265,77,515,4
237,62,380,4
151,58,252,3
325,100,703,4
408,61,844,4
404,83,788,4
390,95,846,4
233,77,493,4
343,78,729,5
402,85,847,5
354,82,842,4
211,59,461,4
194,111,450,3
151,76,244,3
386,102,848,4
310,105,676,4
275,112,582,4
292,67,596,4
331,83,741,4
355,85,786,4
251,80,604,4
348,126,826,5
288,108,580,4
159,81,390,4
319,75,752,4
359,108,692,5
289,92,598,4
451,81,843,5
435,86,834,5
321,92,551,4
269,122,843,3
317,61,724,4
342,103,849,3
414,72,840,5
247,60,445,4
188,54,326,4
295,67,710,4
355,124,819,3
334,95,790,4
355,78,846,4
364,75,763,4
202,56,365,4
46,31,63,2
120,82,188,4
206,73,411,4
377,94,845,4
231,93,524,4
262,111,849,4
396,118,848,4
324,110,733,4
218,158,610,4
315,87,696,4
109,137,206,3
339,88,847,4
200,109,432,4
302,103,669,4
362,106,847,4
324,73,722,4
387,56,797,4
357,43,765,3
331,84,636,4
281,89,664,4
312,65,785,4
254,60,504,4
314,123,631,4
170,41,316,3
396,97,846,3
379,75,849,4
371,100,845,4
237,96,421,4
317,88,725,4
394,55,840,4
209,111,530,4
153,113,262,3
229,115,503,4
128,46,215,4
298,82,686,4
280,63,627,4
219,60,427,3
316,66,707,4
339,65,715,4
345,83,849,4
232,356,641,3
272,84,625,4
314,72,660,4
288,420,689,3
226,56,548,3
283,67,574,3
321,117,849,4
296,96,565,4
321,66,728,4
332,116,723,4
453,68,849,4
301,98,569,5
342,71,700,4
207,87,368,4
135,77,204,3
313,194,843,3
353,99,666,4
388,79,850,4
354,75,847,4
269,74,563,4
302,121,711,4
242,94,538,4
197,110,360,4
316,89,702,4
165,129,321,3
421,95,846,5
345,54,834,4
315,140,695,4
199,86,443,4
106,94,237,3
262,68,489,4
265,63,594,4
413,116,847,5
306,72,623,4
332,72,635,4
300,64,664,4
328,66,695,4
199,274,476,3
250,80,580,4
393,107,845,4
276,101,578,4
108,243,207,2
242,82,563,3
164,81,297,3
379,103,850,4
267,83,598,4
346,91,777,4
225,56,404,3
220,76,386,5
379,103,813,6
309,88,767,4
196,71,344,4
252,135,555,4
217,99,393,4
283,151,700,3
186,97,332,4
336,118,842,4
315,89,847,4
313,65,629,4
341,38,602,4
175,55,280,4
156,121,299,4
281,85,612,4
181,50,365,4
231,118,424,5
179,93,328,3
357,112,849,4
247,136,512,4
262,71,453,4
442,67,842,4
334,89,709,4
242,193,744,3
173,61,303,4
300,125,844,4
237,82,450,4
274,75,604,4
314,59,716,4
252,75,802,3
350,65,791,4
362,75,695,5
375,84,790,5
228,83,551,4
349,91,843,3
286,121,545,5
140,62,230,4
116,117,243,4
315,85,593,4
322,69,665,4
313,169,847,3
144,69,269,3
392,92,840,4
460,78,844,5
55,75,76,2
342,68,842,4
378,88,850,4
293,45,595,4
237,127,547,3
220,81,412,4
298,67,519,4
201,103,331,4
311,112,843,3
278,122,540,4
116,75,230,2
385,64,752,5
394,96,834,4
270,142,711,4
324,105,701,4
373,83,842,4
379,76,777,5
215,135,497,4
222,48,406,4
282,119,659,4
71,63,92,2
239,57,505,4
257,70,512,4
101,77,172,3
304,105,799,4
283,121,603,4
284,132,726,4
323,96,705,4
292,75,596,4
329,106,708,5
261,61,513,4
326,193,848,4
207,80,490,3
377,65,831,4
364,88,828,4
241,72,515,4
238,116,551,4
287,78,679,4
175,160,358,4
162,189,390,3
404,59,844,4
311,55,614,4
412,88,767,5
211,72,497,4
262,50,529,4
303,67,612,4
335,70,728,4
301,57,588,4
266,109,575,4
173,111,381,4
127,69,192,4
343,80,746,5
324,91,717,4
278,89,557,4
269,101,569,4
346,68,811,4
277,125,728,4
369,82,753,4
316,85,570,4
299,78,841,4
411,119,765,5
344,70,842,4
342,98,817,4
337,89,807,4
26,84,34,2
283,83,850,4
313,92,781,4
270,72,536,4
151,68,302,3
253,113,654,4
282,101,641,4
430,101,827,5
141,62,255,3
393,56,836,4
281,114,557,4
213,94,365,4
186,98,355,4
82,115,131,3
364,84,851,5
274,102,580,4
271,222,841,3
248,180,617,4
389,106,843,5
235,99,388,4
341,87,847,4
199,95,373,4
358,51,692,4
339,114,848,4
390,90,838,4
320,103,706,4
351,111,849,4
168,67,310,4
378,104,840,4
290,77,546,4
200,83,401,3
447,106,835,6
274,84,509,4
355,96,625,6
349,75,776,4
201,122,431,3
225,97,413,4
283,77,626,4
276,105,658,5
217,84,543,3
395,105,841,4
261,73,510,4
254,79,512,4
130,218,276,4
127,73,222,4
290,130,700,4
131,120,274,3
185,123,362,4
263,137,635,3
271,81,455,4
138,108,263,4
267,107,499,4
393,58,845,4
370,55,758,4
252,78,526,4
280,91,605,4
351,103,843,4
163,166,337,4
359,83,848,4
111,52,181,3
284,101,647,4
293,62,551,5
222,92,466,4
412,72,831,4
376,71,847,4
354,72,838,4
260,71,525,4
213,100,434,4
68,100,110,3
60,107,80,3
378,70,758,4
283,72,571,4
321,73,855,3
308,102,841,4
208,79,360,4
266,96,511,4
403,78,776,5
269,62,585,4
259,95,765,4
289,109,700,4
98,50,194,3
359,89,850,5
303,81,586,3
315,199,844,4
278,146,642,3
334,66,744,4
157,80,289,3
409,62,849,4
334,114,705,4
246,62,448,4
297,58,637,5
316,112,708,4
427,65,785,5
199,52,391,3
397,77,850,5
280,112,598,4
169,222,394,3
338,151,756,4
188,102,394,3
305,75,839,3
310,101,605,4
213,77,408,4
229,140,460,4
334,116,767,4
427,63,848,4
287,88,557,4
312,162,849,3
288,100,631,4
236,89,528,4
269,100,522,5
404,118,804,5
300,84,540,5
152,101,281,3
276,127,836,4
248,89,512,4
190,73,371,4
427,78,842,5
369,102,849,4
227,58,398,4
282,111,500,4
216,75,411,4
260,111,635,4
326,69,831,3
344,74,750,4
254,82,653,3
135,84,243,3
360,107,850,4
228,60,486,3
158,56,296,3
252,189,772,3
117,56,212,2
384,84,850,4
372,66,751,4
382,81,845,3
213,80,406,4
423,117,842,6
223,127,418,4
373,78,698,4
360,98,578,5
375,95,840,4
331,82,689,4
268,82,464,4
237,100,443,4
237,90,490,4
221,95,433,4
292,85,614,4
388,61,843,4
166,111,338,4
214,111,417,4
220,81,560,3
96,193,223,3
235,108,469,4
253,78,593,3
368,96,845,3
311,96,739,4
167,99,350,3
330,245,850,3
254,72,474,4
288,68,595,4
218,87,385,4
182,125,359,3
188,90,366,3
383,60,849,5
210,74,427,4
263,86,474,5
252,82,494,4
185,103,304,3
205,82,430,4
393,71,817,5
229,114,553,4
344,93,664,4
412,110,849,4
409,80,847,4
376,97,754,4
295,252,766,3
320,72,710,4
266,82,717,4
4,21,4,1
331,121,788,4
358,92,834,5
335,123,764,4
311,163,818,4
378,147,845,4
257,76,546,3
408,110,817,4
287,68,562,4
252,80,467,4
